"PERIODO";"MES";"COD_ADUANA_TRAMITACION";"COD_TIPO_OPERACION";"COD_REGION_ORIGEN";"COD_VIA_TRANSPORTE";"COD_PUERTO_EMBARQUE";"COD_PUERTO_DESEMBARQUE";"COD_PAIS_DESTINO";"COD_MODALIDAD_VENTA";"MONEDA";"CLAUSULA_VENTA";"COD_TIPO_CARGA";"ITEM_SA";"FOB_US_DUSLEG";"FOBUS_AJUSTADO_IVV";"PESO_BRUTO_KG";"CANTIDAD_MERCANCIA";"COD_UNIDAD_MEDIDA"
2026;1;3;200;1;1;901;231;202;1;13;1;"F";"16023220";29501,08;29501,08;49508;47180;6
2026;1;3;200;1;1;901;232;202;1;13;1;"F";"16023220";14452,79;14452,79;24500;23500;6
2026;1;3;200;1;1;901;291;220;1;13;2;"R";"31059030";510450;510450;638500;625000;6
2026;1;3;200;1;1;901;292;220;1;13;2;"R";"31059010";85710;85710;150360;150000;6
2026;1;3;200;1;1;901;294;220;1;13;2;"R";"31059010";147750;147750;250600;250000;6
2026;1;3;200;1;1;901;413;336;1;13;1;"F";"02071430";45648,48;45648,48;21600;20448;6
2026;1;3;200;1;1;901;699;528;1;13;1;"R";"28342100";250879,58;250879,58;318968;312000;6
2026;1;3;200;1;7;957;231;202;1;13;5;"R";"63014000";144160;144160;51080;50790;6
2026;1;3;200;1;7;957;251;219;1;13;5;"R";"94062090";1800;1800;4453;4365;6
2026;1;3;200;1;7;957;251;219;1;13;7;"R";"25010090";5836;5836;108300;107800;6
2026;1;3;200;1;7;957;251;219;1;13;8;"R";"72044900";118290;118290;515000;515000;6
2026;1;3;200;1;7;957;251;219;3;13;7;"R";"25010090";16200;27432;408750;405000;6
2026;1;3;200;2;1;901;291;220;1;13;1;"R";"28012000";3487898,92;3487898,92;49996;48000;6
2026;1;3;200;2;7;957;242;218;1;13;3;"R";"36020020";79273,8;79273,8;7487,48;7203,6;6
2026;1;3;200;2;7;957;242;218;1;13;3;"R";"36020040";70013,73;70013,73;80598;79800;6
2026;1;3;200;2;7;957;242;218;1;13;3;"R";"36020090";20498,07;20498,07;8565,23;8074,46;6
2026;1;3;200;2;7;957;242;218;1;13;3;"R";"36032000";7838,99;7838,99;444;417;6
2026;1;3;200;2;7;957;251;219;1;13;3;"R";"28332910";274365;274365;21000;20250;6
2026;1;3;200;2;7;957;251;219;1;13;3;"R";"72043000";14280,3;14280,3;52890;52890;6
2026;1;3;200;2;7;957;251;219;1;13;3;"R";"84314320";23599,41;23599,41;796;781;6
2026;1;3;200;2;7;957;251;219;1;13;3;"R";"84314900";360399,14;360399,14;11500;8846,15;6
2026;1;3;200;2;7;957;251;219;1;13;5;"R";"39173210";6431,1;6431,1;3510;3510;6
2026;1;3;200;2;7;957;251;219;1;13;7;"F";"03024400";654;654;3627;2725;6
2026;1;3;200;2;7;957;251;219;1;13;7;"F";"03024511";7048;7048;32908;24025;6
2026;1;3;200;2;7;957;251;219;1;13;7;"F";"03028948";750;750;2080;1500;6
2026;1;3;200;2;7;957;251;219;1;13;7;"F";"03028999";71025;71025;155466;118375;6
2026;1;3;200;2;7;957;251;219;1;13;7;"R";"03024511";13125;13125;23750;17500;6
2026;1;3;200;2;7;957;251;219;1;13;7;"R";"28141000";92344,03;92344,03;62330;62330;6
2026;1;3;200;2;7;957;251;219;1;13;7;"R";"36034000";174000;174000;1342,5;996;6
